index,f00,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55
43,0,0,170,0,104,0,0,0,0,0,0,0,30,0,1,0,200,0,65535,0,4,0,18,0,1,0,0,0,0,0,8,0,77,0,0,0,0,0,10,0,65506,65535,512,0,7168,0,2048,0,495,0,4,0,0,0,0,0
44,170,0,104,0,0,0,0,0,1,0,30,0,1,0,200,0,65535,4,0,0,18,0,4,0,0,0,0,0,8,0,77,0,0,0,0,0,15,0,65506,65535,512,0,6400,0,2048,0,495,0,4,0,0,0,0,0,341,0
45,104,0,0,0,0,0,1,0,30,0,0,0,200,0,65535,0,1,0,18,0,1,0,0,0,0,0,8,0,77,0,0,0,0,0,15,0,65506,65535,512,0,7168,0,2048,0,495,0,4,0,0,0,0,0,170,0,104,0
46,0,0,0,0,1,0,30,0,1,0,200,0,65535,0,4,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65506,65535,0,0,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,0,0,1,0,65386,65535,0,0,0,0,65535,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,0,28,0,15,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,98,0,0,0,0,0
48,1,0,52,0,1,0,500,0,65535,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,70,0,0,0,0,0,1,0
49,100,0,1,0,240,0,72,3,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,68,0,0,0,0,0,1,0,100,0
50,1,0,240,0,73,5,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,36,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100,0,0,0,0,0,1,0,1,0,1,0
51,240,0,74,0,5,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,36,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100,0,0,0,0,0,1,0,1,0,1,0,240,0
52,75,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,64,0,0,0,0,0,1,0,1,0,0,0,240,0,76,3
53,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,66,0,0,0,0,0,1,0,1,0,1,0,240,0,76,5,2,0
54,65535,65535,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,65506,65535,128,0,2560,0,0,0,0,0,0,0,0,0,0,0,341,0,1,0,0,0,0,0,1,0,75,0,1,0,50,0,65535,0,0,0,18,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65506,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,96,0,0,0,0,0,1,0,0,0,0,0,400,0,64,3,0,0,18,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65506,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,96,0,0,0,0,0,1,0,0,0,0,0,240,0,64,5,0,0,22,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,2,0,65506,65535,896,0,3840,0,0,0,0,0,0,0,0,0,0,0,2,0,96,0,0,0,0,0,1,0,52,0,1,0,240,0,64,2,4,0,23,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,4,0,65506,65535,896,0,3840,0,0,0,0,0,0,0,0,0,0,0,2,0,96,0,0,0,0,0,1,0,52,0,0,0,240,0,64,4,4,0,65535,65535,18,0,0,0,0,0,4,0
59,44,0,0,0,0,0,12,0,65506,65535,320,0,7168,0,3072,0,495,0,21,0,0,0,0,0,341,0,121,0,0,0,0,0,1,0,105,0,1,0,200,0,65535,0,0,0,65535,65535,0,0,0,0,4096,0,0,0,0,0
60,1,0,0,0,3,0,65506,65535,64,0,2816,0,0,0,0,0,0,0,0,0,0,0,191,0,2,0,1,0,0,0,1,0,140,0,1,0,10,0,65535,0,0,0,65535,65535,13,0,0,0,0,0,0,0,0,0,0,0
61,0,0,22,0,65506,65535,64,0,3840,0,0,0,0,0,0,0,0,0,0,0,298,0,65,0,0,0,0,0,1,0,0,0,0,0,50,0,65535,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,10,0,48,0,896,0,1280,0,0,0,0,0,0,0,176,0,177,0,63,0,38,0,0,0,0,0,1,0,50,0,0,0,200,0,65535,0,0,0,18,0,0,0,40,0,0,0,0,0,0,0,0,0,3276,0,40,0
63,36,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,96,0,0,0,0,0,1,0,80,0,1,0,500,0,65535,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,0,40,0,90,0
64,0,0,960,0,0,0,0,0,0,0,0,0,0,0,213,0,100,0,0,0,0,0,1,0,40,0,1,0,250,0,65535,0,1,0,65535,65535,72,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,65506,65535,0,0
65,512,0,768,0,385,0,0,0,245,0,246,0,2184,0,0,0,0,0,1,0,1,0,70,0,1,0,50,0,65535,0,0,0,65535,65535,72,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,65506,65535,0,0,3072,0
66,3200,0,1375,0,0,0,209,0,210,0,2184,0,0,0,0,0,1,0,2,0,80,0,1,0,0,0,65535,0,0,0,18,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,65506,65535,512,0,3200,0,0,0
67,0,0,0,0,0,0,0,0,426,0,97,0,0,0,0,0,1,0,20,0,1,0,300,0,65535,0,1,0,18,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,65506,65535,768,0,3200,0,0,0,0,0
68,0,0,0,0,0,0,426,0,97,0,0,0,0,0,1,0,85,0,1,0,300,0,65535,0,1,0,18,0,9,0,0,0,0,0,4,0,22,0,0,0,0,0,15,0,65506,65535,640,0,7680,0,4480,0,495,0,21,0
69,0,0,0,0,682,0,120,0,0,0,0,0,1,0,20,0,1,0,300,0,65535,0,4,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,640,0,512,0,0,0,0,0,0,0,0,0
70,0,0,51,0,36,0,0,0,0,0,1,0,85,0,0,0,0,0,65535,0,0,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,640,0,512,0,0,0,0,0,0,0,0,0,0,0
71,51,0,36,0,0,0,0,0,1,0,85,0,0,0,0,0,65535,0,0,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,1,0,24,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0
72,36,0,0,0,0,0,1,0,0,0,1,0,200,0,65535,0,0,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,1,0,36,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,36,0
73,0,0,0,0,1,0,65526,65535,1,0,300,0,65535,0,0,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,9,0,18,0,896,0,0,0,10240,0,357,0,0,0,0,0,0,0,8,0,34,0,0,0
74,1,0,1,0,20,0,0,0,0,0,65535,0,0,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,65506,65535,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1,0,0,0
75,1,0,52,0,0,0,0,0,65535,0,0,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65506,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,68,0,0,0,0,0,1,0
76,10,0,0,0,240,0,76,2,0,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65506,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,68,0,0,0,0,0,1,0,10,0
77,0,0,240,0,76,4,0,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,1350,0,2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,1,0,0,0,0,0
78,0,0,65535,0,0,0,65535,65535,72,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,65506,65535,0,0,2880,0,3200,0,1375,0,0,0,0,0,0,0,2184,0,0,0,0,0,1,0,2,0,80,0,1,0,10,0
79,65535,0,0,0,2,0,2,0,3,0,3,0,4,0,1,0,2,0,2,0,4,0,2,0,2,0,1,0,1,0,4,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,1,0,2,0,2,0,4,0,2,0
80,2,0,2,0,4,0,4,0,2,0,4,0,2,0,2,0,4,0,2,0,1,0,1,0,2,0,2,0,1,0,2,0,2,0,2,0,4,0,4,0,2,0,4,0,1,0,3,0,6,0,6,0,3,0,3,0
81,6,0,6,0,2,0,6,0,6,0,2,0,2,0,4,0,1,0,2,0,2,0,3,0,3,0,1,0,1,0,2,0,2,0,4,0,7,0,7,0,7,0,7,0,1,0,1,0,6,0,6,0,2,0,1,0
